Box_xDev Box_yDev Box_zDev Box_RotxDev Box_RotyDev Box_RotzDev Pin_xDev Pin_yDev Pin_zDev Pin_RotxDev Pin_RotyDev Pin_RotzDev
4.79002 5.26153 0.245195 -2.06577e-05 -0.00793144 0.0115763 4.92884 6.65561 0.417828 -0.00251261 -0.00154917 0.00303968
4.77165 5.2801 0.281425 -0.0112484 -0.012976 0.00779204 4.92695 6.65864 0.402185 -0.000483294 -0.00203121 0.00276352
4.80401 5.24982 0.262877 -0.00752305 -0.0126622 0.0137413 4.90313 6.67501 0.380705 0.00211677 -0.00275927 -0.00120111
4.7956 5.26122 0.235963 -0.00253449 -0.0127179 0.0117742 4.92184 6.6591 0.412292 -0.00133607 -0.00118113 0.00143591
4.80754 5.24703 0.255576 -0.00676135 -0.0134464 0.0146795 4.92072 6.66152 0.40545 0.000855033 0.000592206 0.00107898
4.82662 5.23181 0.249772 -0.00308243 -0.0105988 0.0178252 4.92025 6.66051 0.407919 -0.000290915 -0.000509091 0.000480736
4.84627 5.2117 0.228136 -0.00213366 -0.0139682 0.022021 4.93405 6.6529 0.409998 -0.000196949 3.80985e-05 0.00239844
4.84032 5.21696 0.264173 -0.00615875 -0.0108927 0.0208279 4.92513 6.65775 0.402436 0.00202541 0.00168442 0.001153
4.83084 5.22846 0.246808 -0.00473403 -0.0129768 0.0191651 4.93071 6.65411 0.406662 0.000286918 3.57069e-05 0.00135969
4.83336 5.22539 0.24583 -0.0043658 -0.0127818 0.0192207 4.90795 6.66726 0.400956 0.00196555 0.00136442 -0.00180692
4.81988 5.23781 0.226659 -0.00489789 -0.017411 0.0168615 4.935 6.64891 0.427683 -0.00671881 -0.00557511 0.0011852
4.82912 5.22822 0.195908 -0.00327181 -0.0221471 0.0181797 4.95284 6.63586 0.422216 0.00146339 0.00506058 0.00453512
4.80366 5.24931 0.221046 -0.002421 -0.0157817 0.0139609 4.93934 6.64743 0.392686 0.00386858 0.00221943 0.00201627
4.79797 5.25486 0.207912 -0.001582 -0.0176168 0.0127242 4.93018 6.65008 0.435195 -0.00152172 0.00344521 0.000612627
4.79731 5.2616 0.158038 0.00109274 -0.0252167 0.01167 4.9537 6.63876 0.396094 0.000293669 -0.00222332 0.00303786
4.7888 5.26359 0.19155 -0.000537621 -0.019703 0.0109697 4.92753 6.65221 0.416138 -0.000295274 0.00132444 -0.000502624
4.77416 5.28032 0.172827 -0.000397784 -0.0235026 0.00825181 4.92893 6.65187 0.417442 -0.0017285 -0.000590179 -0.00107565
4.76526 5.28629 0.218198 -0.00900412 -0.0236188 0.00636417 4.92954 6.65138 0.406696 0.000534561 0.000420604 -0.00071157
4.74093 5.31079 0.156143 0.000313053 -0.0262067 0.00179558 4.93551 6.64556 0.412114 -0.00101004 -0.000752617 -1.29455e-05
4.73193 5.32076 0.136803 0.00428906 -0.0256978 -0.000777399 4.94208 6.64122 0.411097 -0.00171915 -0.00183884 0.000722489
4.72497 5.3308 0.0942068 0.00429419 -0.0346941 -0.00250188 4.95188 6.63849 0.406675 0.00245911 0.00325714 0.00163301
4.74309 5.31235 0.15098 -0.0066309 -0.0349055 0.0008984 4.9541 6.63415 0.406997 -0.0017683 -0.00279514 0.00139929
4.77554 5.28041 0.13637 -0.0023734 -0.0333043 0.00734318 4.9564 6.63218 0.405471 -0.000953203 -0.00202691 0.00125096
4.76579 5.28798 0.189265 -0.000645016 -0.020177 0.00637139 4.94602 6.63729 0.387498 0.00295445 -0.000122987 8.77129e-05
4.75544 5.29376 0.199218 -0.00410341 -0.0218533 0.00476572 4.95049 6.63693 0.401477 0.00212887 0.00164061 0.0004167
4.75301 5.29422 0.219887 -0.00761048 -0.0214506 0.00421116 4.9532 6.63332 0.403332 -0.00026682 -0.00149236 0.000337285
4.75119 5.29613 0.217854 -0.00754549 -0.021797 0.00368917 4.96259 6.62445 0.416375 0.00293033 0.00566253 0.00237801
4.73884 5.30948 0.21204 -0.00543912 -0.0207558 0.00127045 4.94883 6.64143 0.386565 0.000604936 -0.00379188 -0.00116747
4.72416 5.31948 0.216192 -0.00617881 -0.0205533 -0.00102856 4.97336 6.61917 0.435025 -0.00302954 0.00120664 0.00271174
4.74216 5.30566 0.207006 -0.00947486 -0.0263292 0.00202793 4.96316 6.62958 0.416 -0.000156596 0.00136754 0.00075945
4.75113 5.30485 0.142638 0.00177742 -0.0274676 0.00258178 4.97138 6.62092 0.406826 -0.00424454 -0.0063937 0.00166358
4.72991 5.32103 0.133227 -0.00074971 -0.0321117 -0.0010009 4.9542 6.62845 0.425577 -0.00151967 0.00146373 -0.000403906
4.75423 5.30743 0.0743532 0.00943408 -0.0332042 0.0027878 4.9768 6.61379 0.40547 -0.00138655 -0.00258553 0.00222206
4.77034 5.29283 0.0833744 0.00401222 -0.0371893 0.00553799 4.98034 6.61423 0.425267 -0.000951405 0.00229933 0.00263622
4.80636 5.25487 0.163132 0.000809635 -0.0240898 0.0132979 4.9539 6.62586 0.426109 0.000106663 0.0038862 -0.000923745
4.80604 5.25362 0.174664 -0.00330938 -0.026233 0.0131611 4.97271 6.61783 0.386128 0.0024441 -0.00112944 0.0012143
4.81742 5.23788 0.210819 -0.00958468 -0.0256236 0.0157437 4.98319 6.612 0.392843 0.00124479 -0.0015121 0.00231219
4.83753 5.22448 0.186699 -0.00535833 -0.025957 0.0193246 4.97194 6.61603 0.435297 -0.00339378 0.000776071 0.000358855
4.81761 5.24039 0.199823 -0.00363255 -0.0212675 0.0158391 4.95637 6.63022 0.386077 0.00264045 -0.000921726 -0.00202665
4.83331 5.22209 0.202727 0.00163745 -0.0147874 0.019485 4.99384 6.60464 0.413292 0.00294875 0.00523503 0.00329814
4.80715 5.24876 0.166527 0.00247532 -0.0215221 0.0140221 4.97706 6.61832 0.391018 0.00396954 0.00206147 0.000271974
4.82102 5.24064 0.157214 0.00597055 -0.0195383 0.0166802 4.97722 6.61064 0.435871 -0.00603423 -0.00288531 0.000434376
4.79585 5.26003 0.196762 0.00165523 -0.0160348 0.012793 4.97399 6.61983 0.388963 0.00426544 0.00206776 -0.000548763
